tractid,latitude,longitude,crime_index,rest_proximity,rest_score
6075025100,37.7439369,-122.4076735,12.4122870325,14.8823886878,91.2484518443
6075025200,37.7437089,-122.4142164,14.5284527136,17.3614590809,91.1268349221
6075025300,37.7437059,-122.4201527,14.6263151346,18.244457605,91.0232298818
6075025401,37.7396295,-122.4224695,11.3871826541,14.800449309,91.0576284644
6075025402,37.7368829,-122.412786,10.001114456,12.1041182249,91.2616365171
6075025403,37.7337691,-122.4205619,9.14914989148,10.8770321521,91.1814757628
6075025500,37.7280611,-122.4372627,8.90031732231,7.25932140198,90.8918457833
6075025600,37.7287139,-122.4224279,7.7326297547,8.2072532713,91.2111455756
6075025701,37.7315763,-122.4121411,8.46408018503,8.83735699328,91.3390274143
6075025702,37.7281305,-122.4057589,9.5088833927,6.39703226123,91.4653797639
6075025800,37.7216202,-122.4020019,8.9246553659,4.38979567796,91.5468500996
6075025900,37.7234533,-122.4105033,7.07035066247,5.20249591391,91.4274207754
6075026001,37.7235502,-122.4322434,9.57740978634,6.64345766511,91.0634148001
6075026002,37.7261197,-122.4262823,8.09518071223,7.21220791848,91.1668608911
6075026003,37.7196247,-122.4287994,7.74042417935,5.5779494408,91.1601293818
6075026004,37.7178905,-122.4357008,9.12264678772,5.74739015103,91.0219139295
6075026100,37.7196219,-122.4431582,9.24322737555,6.03308757947,90.8247817699
6075026200,37.7113172,-122.4539535,5.90772682792,3.61483265021,90.7588162931
6075026301,37.7138685,-122.439533,7.55137414933,5.10804891476,90.9625212523
6075026302,37.7116589,-122.4307918,5.15235672097,3.91150916126,91.1448433126
6075026303,37.7096646,-122.4434663,5.10089005204,4.07889998319,90.9193706706
6075026401,37.7135251,-122.4112834,6.46742798595,2.51564706157,91.442996279
6075026402,37.7164873,-122.403256,6.98603303182,3.27593450131,91.536418185
6075026403,37.7111894,-122.4069033,5.45713902871,2.15445061166,91.4930249457
6075026404,37.7096499,-122.4152838,5.732067438,1.82853670975,91.3920088987
6075030101,37.7642357,-122.4597306,7.15725928821,10.8402093476,89.4836952856
6075030102,37.7594542,-122.4580012,5.15353170676,8.68575346161,89.5477885576
6075030201,37.7628146,-122.4737784,5.04598051307,10.3449549578,88.8765914145
6075030202,37.7630839,-122.4673274,5.74643503942,10.6627352129,89.1129073741
6075030301,37.7569429,-122.4692415,4.47711569641,8.61284074592,88.9793956613
6075030302,37.7519442,-122.4716376,4.05658816146,7.90517928884,88.9065232355
6075030400,37.7469509,-122.4675173,3.53756286062,6.67151769333,89.1363078411
6075030500,37.7523832,-122.4517871,3.38383220865,6.50592895717,89.9104655508
6075030600,37.743754,-122.4571446,2.73268162809,4.57759523467,89.7307800329
6075030700,37.7372232,-122.4503095,3.35923939681,4.9039545023,90.2357450287
6075030800,37.7391922,-122.4678545,3.70148367218,5.81653761021,89.3660562244
6075030900,37.7283108,-122.4682602,5.04425763978,5.2401981695,89.9007623698
6075031000,37.7286172,-122.4571587,5.46538601061,5.18229788727,90.1788240727
6075031100,37.7296356,-122.4461642,6.13046698369,6.14229919937,90.5722471571
6075031201,37.7217805,-122.4573334,7.52367136849,4.90957573008,90.4151952393
6075031202,37.7193276,-122.4523964,8.12152163379,5.15239401868,90.5985260933
6075031301,37.7193263,-122.4678672,5.92433983364,3.92754654845,90.3960802125
6075031302,37.7133955,-122.467097,4.98840982504,2.91127245526,90.6766892262
6075031400,37.7147206,-122.4571446,7.08961302423,3.91562050055,90.6439179467
6075032601,37.7624848,-122.4807924,4.21656934807,9.42098318117,88.748069023
6075032602,37.7589003,-122.4825954,4.06456766224,8.61595788234,88.7119959265
6075032700,37.760167,-122.4911676,3.27329787522,7.25912345028,88.8100975353
6075032801,37.7460215,-122.4804177,4.25391644042,7.57877227204,88.8924063674
6075032802,37.7530955,-122.4812305,4.15315826287,8.12051568292,88.7342742694
6075032901,37.7461534,-122.4901861,3.50959435237,6.28567157727,89.0160561104
6075032902,37.7526805,-122.4906443,3.46224983836,6.67778040223,88.851836844
6075033000,37.7381567,-122.4834271,3.88747435355,6.21817990465,89.2706705668
6075033100,37.7321973,-122.4872238,2.98120310976,4.79732519264,89.712499066
6075033201,37.726265,-122.4796588,4.53365167645,4.6090182433,90.0142037878
6075033203,37.7159256,-122.4782503,3.56167856957,2.70982016688,90.6857346973
6075033204,37.7196259,-122.4804118,3.80860744571,3.26444745221,90.4848648487
6075035100,37.7576269,-122.4991499,3.27035760074,5.01385560576,89.0539996685
6075035201,37.7566148,-122.5104339,2.12616836823,2.23567221955,89.5522970232
6075035202,37.7613974,-122.5061466,3.02016506884,3.31349725084,89.3141182747
6075035300,37.7425001,-122.4978433,2.93614343059,4.12708756078,89.4099511428
6075035400,37.7421024,-122.5072276,1.78675378493,2.17449580712,89.8165739418
6075040100,37.7851543,-122.4618142,6.05795294543,12.1760797987,89.6635161391
6075040200,37.7843252,-122.4683889,5.6125918219,11.5606797153,89.4825875038
6075042601,37.7831165,-122.4811913,4.39062073064,8.95165471137,89.2173030912
6075042602,37.7833793,-122.4754787,4.87390172583,10.4833282078,89.3030781116
6075042700,37.7822651,-122.4881473,3.88803350636,6.84455636587,89.1773528458
6075042800,37.7880433,-122.4885865,2.23471272434,5.12485463115,89.3226200223
6075045100,37.777583,-122.4613476,8.75091824586,14.1052641212,89.5736882999
6075045200,37.7771137,-122.467999,7.38030740997,13.5324004122,89.3455787597
6075047600,37.7767698,-122.475543,5.69758056247,12.1117145806,89.1344636945
6075047701,37.7782506,-122.4840627,4.72899168381,9.21467016039,89.070963905
6075047702,37.7744602,-122.4837889,4.47003985743,9.82387572037,88.9738925814
6075047801,37.7758371,-122.4921143,3.78807109581,6.9150106249,89.0556713505
6075047802,37.779204,-122.497393,3.04383788679,4.94770290212,89.2187453192
6075047901,37.7824907,-122.5098633,1.32886110696,1.85067958251,89.5835591009
6075047902,37.7791834,-122.5039633,2.39671638132,3.28630337081,89.3750512288
6075060100,37.7991353,-122.480109,0.266688625148,2.75076303132,89.594757648
6075060400,37.7223022,-122.4911286,1.44338801907,2.60333345808,90.5220410585
6075060502,37.7109991,-122.4199075,5.69113806406,2.46126847066,91.3284077473
6075060700,37.7723808,-122.3906714,10.4359491503,32.1960858397,91.3982947332
6075061000,37.7132283,-122.3846994,2.93857686029,1.3900963857,91.7733645639
6075061100,37.7955998,-122.4040647,37.8070685645,92.6780677083,90.7807177604
6075061200,37.7370414,-122.3901777,15.713423433,4.88876849954,91.7296711617
6075061400,37.7550917,-122.3974733,12.0695410412,13.1820803181,91.3589300292
6075061500,37.7877258,-122.3923886,20.0282851936,69.9515242597,91.1867938696
6075980200,37.7860688,-122.5028261,1.2177170557,2.67678344618,89.4616270383
6075980300,37.7684025,-122.4920873,3.13525775415,7.42806868374,88.9086166239
6075980401,37.7272391,-123.0322294,0.0,0.0,91.0288277712
6075980501,37.7162957,-122.4191554,6.11517644274,3.74074945143,91.3350389075
6075980600,37.7231655,-122.3685424,1.26181679218,0.437429037548,92.1956432652
6075980900,37.7462861,-122.389477,8.48242617493,5.48897383543,91.7030670743
6075990100,37.76216,-122.5518622,2.71131855031e-08,0.0,91.237799796
