Knowledge Base Article Title	16-Mar	16-Feb	16-Jan	15-Dec	15-Nov	15-Oct	15-Sep	15-Aug	15-Jul	15-Jun	15-May	15-Apr	15-Mar	15-Feb	15-Jan	14-Dec	14-Nov	14-Oct	14-Sep	14-Aug	14-Jul	14-Jun	14-May	14-Apr	14-Mar	14-Feb	14-Jan	13-Dec	13-Nov	13-Oct	13-Sep	13-Aug	13-Jul	13-Jun	13-May	13-Apr	13-Mar	13-Feb	13-Jan	12-Dec	12-Nov	12-Oct	12-Sep	12-Aug	12-Jul	Total
Free Muni for Seniors - Low and Moderate Income	160	135	139	152	118	174	224	237	382	443	265	471	966	494	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4433
"Water Quality - Dirty, discolored, rusty, yellow"	157	76	114	139	54	59	146	100	80	79	58	99	88	113	128	207	190	99	45	56	100	90	77	85	85	92	96	82	90	103	53	76	60	67	92	89	90	85	114	158	143	91	61	103	5	4274
Claims against the City - How do I file? Includes the Claim Form.	151	117	120	115	66	94	106	73	64	70	78	80	75	110	107	203	68	72	69	55	73	71	51	72	78	73	58	47	78	68	77	70	78	106	70	78	71	44	33	34	28	34	19	38	0	3342
Police Report - Non Emergency	150	162	108	85	85	106	116	134	74	69	81	83	106	91	93	82	96	88	83	89	68	66	64	51	64	49	81	49	30	52	58	48	55	82	57	55	62	68	59	75	149	176	261	183	22	3965
Police District Station Map	149	160	174	143	158	190	201	168	215	175	158	157	161	123	182	166	163	180	152	165	164	156	149	112	149	115	157	129	133	197	202	146	161	146	144	176	121	110	119	87	99	124	105	122	5	6668
Parking Tickets - Protest Process	135	87	82	90	129	102	138	146	133	129	107	112	125	125	145	94	106	85	72	55	50	39	42	47	52	49	63	44	43	37	35	34	35	46	40	31	51	46	48	26	100	85	44	61	7	3352
"Complaints - Employee Conduct, Including Vehicles, Whistleblower, PCO"	134	98	111	111	111	126	142	130	107	141	143	132	124	96	90	97	96	128	133	96	104	84	130	110	141	109	130	101	93	131	106	138	76	95	134	118	121	104	113	122	79	102	79	92	29	4987
Treasurer and Tax Collector: False Alarm	133	102	127	123	106	95	143	170	45	101	110	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1391
Treasurer and Tax Collector: Property Tax Payments 	132	184	120	302	311	864	120	97	120	367	132	332	172	101	104	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3539
"Unsecured Property Tax- Definition, Delinquent, Corrected, & Supplemental"	129	105	115	148	97	265	143	288	412	121	66	86	115	124	327	132	82	228	330	657	491	118	124	133	174	142	67	45	34	61	26	71	163	42	40	23	26	2	3	1	3	2	0	0	0	5761
Treasurer and Tax Collector: Mailings	128	71	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219
Muni Lifeline Passes (Low Income Muni Passes) - eligibility and certification	124	102	88	75	69	57	93	83	111	77	88	81	91	60	104	65	74	96	114	110	69	89	146	176	210	219	164	81	42	36	49	49	38	43	60	41	44	38	46	39	32	36	34	55	7	3605
Towed Car (Auto Return)	122	124	109	109	93	117	91	88	95	103	63	58	46	52	63	64	66	74	60	56	68	64	58	52	50	43	45	54	74	58	73	73	63	59	57	58	62	21	22	21	26	25	44	33	10	2866
Parking Citation: Fine - Blocking a Driveway	119	118	171	101	88	140	133	90	75	50	80	76	85	101	92	91	90	157	113	166	158	131	180	228	197	126	177	139	62	102	108	119	60	31	20	22	39	15	13	15	30	48	43	48	3	4250
Property Tax: Refund Information	119	122	156	163	105	168	143	171	159	163	184	190	189	163	186	223	114	155	77	92	165	228	247	356	425	354	127	118	93	153	71	84	96	134	159	199	190	88	78	115	210	177	6	14	2	6931
Obtaining Death Records (Death Certificate)	116	104	103	100	86	78	85	76	65	80	60	69	101	81	114	86	56	76	63	79	85	87	68	69	76	55	70	55	47	56	69	73	72	83	73	82	116	115	109	88	87	85	78	116	21	3613
Language Line Instructions	112	34	48	40	35	80	49	42	56	53	33	28	36	40	36	19	21	36	12	16	43	26	29	27	55	36	22	23	16	24	24	26	42	25	26	26	16	5	18	8	19	8	4	8	1	1383
MUNI Fare Information	112	106	95	62	79	96	134	165	186	207	38	43	72	63	55	48	64	97	128	199	67	90	99	79	77	82	127	65	64	41	48	74	46	67	46	37	40	0	3	1	0	0	0	4	4	3210
Blight Information and Matrix	110	109	100	87	71	122	153	161	119	140	90	75	115	134	123	110	104	165	169	141	132	159	132	81	114	123	108	65	78	72	61	68	59	56	80	66	56	39	48	24	23	48	39	46	19	4194
RTC and Clipper Card	108	85	93	110	118	102	130	172	184	166	119	185	279	214	175	57	68	81	109	110	84	89	113	86	130	90	128	94	121	96	120	119	130	121	132	91	104	115	119	73	67	94	112	90	17	5200
Birth and Death Requests - County Clerk Status Lookup	100	90	86	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472
Warning Flyer - Blocked Driveway	100	125	113	108	128	76	124	100	43	42	57	56	57	32	45	94	86	73	52	89	59	34	42	36	38	12	25	47	37	38	20	20	30	10	17	18	33	28	8	4	7	4	13	11	0	2191
Recology Bulky Item Collection (Residential Curbside Collection)	99	85	123	119	99	110	122	104	88	81	81	75	77	102	108	154	243	47	12	13	7	13	9	12	10	5	14	10	5	15	12	6	9	13	5	9	14	15	12	14	17	9	11	15	2	2205
SF City ID Card	96	76	116	81	126	83	75	70	58	85	104	75	87	55	88	76	98	83	90	81	93	115	103	93	85	83	96	57	59	58	67	90	82	83	94	105	94	57	71	26	34	52	50	96	7	3553
Assessor Recorder Office - General Information	95	45	41	29	54	70	29	30	46	30	33	63	51	51	62	91	139	190	81	109	218	112	87	152	130	73	129	118	191	192	114	197	263	100	81	77	117	106	72	44	94	91	56	209	46	4408
Treasurer and Tax Collector Triage Queue Routing	94	86	84	70	67	70	48	94	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	660
Trees - All Matters	93	68	74	45	56	69	92	64	48	83	61	57	71	79	73	71	39	66	59	54	67	62	63	61	53	41	67	47	59	78	85	80	64	72	65	81	48	41	41	35	51	43	51	75	6	2758
Other Noise considered to be excessive Noise Complaints	92	83	82	75	88	183	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	752
Assessor Recorder: Property Tax Bills	91	55	60	83	187	423	62	71	81	55	65	76	93	50	34	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1520
Bay Area Rapid Transit - BART	91	83	94	96	92	91	115	139	130	97	85	83	58	62	72	81	83	93	59	125	67	77	92	70	70	72	100	93	87	150	86	116	113	83	85	68	73	55	67	93	85	102	100	139	14	3986
Property Tax All Matters (Landing Page)	91	83	95	160	189	573	100	70	112	172	135	191	113	73	55	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2275
Temporary Reserve Parking Permits - e.g. Moving Trucks	91	78	70	50	73	95	105	166	88	74	39	55	85	69	49	44	38	49	59	71	59	84	80	63	62	41	53	34	59	81	74	78	106	139	128	69	78	65	175	65	80	15	8	14	6	3164
MTA - Parking Meter Cards - All Matters	88	96	67	60	56	52	58	64	33	53	66	45	57	35	55	53	63	67	68	82	78	77	69	74	75	65	73	59	65	64	67	79	78	142	126	102	100	84	94	60	35	46	34	44	2	3010
Parking Meter Hours and Rates	87	74	111	95	102	69	93	89	63	64	57	58	68	50	77	115	106	136	199	163	158	119	139	102	74	59	69	40	42	48	87	66	69	30	23	20	25	4	2	2	1	5	2	1	0	3063
Mechanical Street Cleaning Information	85	72	41	28	64	27	21	41	30	25	23	20	30	26	35	56	36	35	17	25	38	28	36	22	32	19	31	21	22	28	16	33	32	12	22	23	21	16	25	16	13	21	21	17	2	1304
Kindergarten to College (K2C) Program - Contact Information	84	53	80	49	81	71	150	27	26	15	21	14	24	24	48	56	62	67	32	25	16	9	8	5	14	15	23	12	13	7	28	12	13	14	19	22	5	26	12	6	11	3	7	20	0	1329
Public Marriage Record / Certificate Request - Status Only	84	62	76	94	45	34	49	39	33	32	35	27	32	31	32	29	7	0	37	32	45	35	37	38	31	47	39	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1150
MTA Human Resources	83	61	65	38	45	46	61	45	48	38	46	36	61	47	57	42	34	52	35	34	26	24	20	36	40	31	33	36	21	19	29	29	34	27	18	30	33	19	28	21	28	24	31	48	4	1663
Treasurer and Tax Collector login assistance	81	90	63	56	95	126	83	140	166	325	544	231	236	861	170	63	50	44	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3467
Construction Noise Complaints- Private Building/ Property	80	90	61	80	81	163	152	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	730
Treasurer & Tax Collector: Alarm Company Self Service Portal	80	43	41	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177
Pacific Gas and Electric (PG and E)	78	76	78	89	119	51	50	33	47	35	50	42	39	86	72	269	68	64	47	53	57	65	31	40	51	63	64	82	56	62	56	46	41	70	78	100	84	41	67	94	74	75	50	78	12	2983
Whistleblower - Dept Email Contacts	78	66	94	96	66	91	83	79	65	86	116	133	105	69	89	85	90	126	126	111	102	94	117	95	116	107	127	97	144	147	101	118	102	101	110	118	136	82	74	24	0	0	0	0	0	3966
Construction Noise Complaints – Public Building / Property	77	80	65	68	101	146	151	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	712
"Construction Use of Street, Parking Space - Complaint"	75	90	52	64	38	52	96	80	65	87	105	93	80	85	76	48	49	100	85	5	3	0	1	4	2	3	2	0	2	2	0	1	2	2	1	4	1	0	0	0	0	0	0	0	0	1455
Loss of Water Service	73	36	49	88	65	52	55	45	56	70	40	56	52	63	39	86	51	64	39	89	42	48	35	63	45	51	54	34	59	64	29	46	53	24	46	43	27	29	32	35	35	44	35	52	10	2203
Abandoned Vehicle	71	65	46	62	35	40	59	61	28	23	23	20	15	11	8	10	6	15	18	18	16	14	13	13	15	14	10	8	25	16	20	24	15	10	12	16	24	10	9	10	26	15	14	11	6	1000
Housing Authority (SFHA) Contact Information	71	48	59	83	72	62	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433
Senior Clipper Card (Discount Cards)	71	61	59	53	52	57	65	55	64	59	47	56	114	96	97	26	24	43	40	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1175
Birth and Death Certificates - Status of DPH issued requests to provide copies	70	75	69	72	73	81	69	61	56	74	56	58	61	68	99	57	65	77	55	78	66	59	60	59	64	42	50	52	46	69	63	62	56	54	96	69	104	154	106	51	46	94	121	162	30	3209
Mayors Office of Neighborhood Services (MONS) - General Request for Service	70	8	4	1	1	9	8	8	10	7	4	2	1	0	9	2	7	12	11	13	9	10	4	4	6	8	7	9	4	12	5	1	3	6	2	4	8	4	14	10	16	10	9	19	0	371
Wires Hanging / Down / Downed	70	34	24	31	27	16	16	17	16	21	18	27	15	49	16	49	22	15	33	15	28	22	28	25	12	26	18	16	16	24	13	13	16	17	25	39	21	8	7	33	30	9	10	14	1	1002
Blocked Street - All Reasons	69	91	83	41	69	83	112	117	60	69	95	100	63	65	64	52	49	68	76	53	61	56	85	65	75	87	63	52	78	61	47	76	51	42	67	68	53	18	25	17	38	25	20	30	2	2741
Marriage Certificate- Name Change AFTER a Marriage has been officiated	68	43	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164
Muni Refunds and Replacements	68	89	66	64	69	36	40	72	61	36	40	29	27	21	27	57	39	42	55	36	34	37	39	23	24	17	27	40	15	26	40	29	59	26	30	25	41	15	24	38	37	26	18	30	0	1694
Non Housing Authority Property List	68	47	73	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252
Animal Care and Control - General Information	67	72	54	38	55	67	79	77	70	61	79	71	65	52	72	79	67	105	87	106	74	79	76	41	64	49	61	47	53	50	64	69	77	78	73	62	61	31	37	29	33	37	24	31	3	2726
Report Illegal Dumping	65	93	50	32	27	41	66	71	75	66	44	51	46	82	52	32	51	49	53	39	60	55	50	47	64	41	43	61	69	66	74	180	279	0	0	0	0	0	0	0	0	0	0	0	0	2174
Purchase Listing of Fictitious Business Name	64	43	34	48	85	54	83	67	72	80	75	58	66	77	53	60	48	106	62	53	71	73	65	77	102	55	72	47	37	52	87	50	51	81	68	78	78	26	31	8	10	22	15	12	5	2561
SFMTA Citation Overpayments	64	67	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174
Treasury and Tax Collector: Short Term Rental Host	64	91	259	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420
Please verify the amount of my lien.	61	55	33	48	35	48	41	29	30	31	30	16	15	19	32	14	10	20	8	20	13	20	22	26	29	14	19	8	19	15	26	24	30	18	33	33	31	33	31	20	1	4	0	4	3	1071
Special Traffic Permit (STP)	61	42	29	18	30	47	33	27	39	13	35	35	28	22	13	7	6	4	9	0	2	4	5	1	1	3	1	2	1	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	530
Parking on Sidewalk - all vehilce types	60	36	14	17	8	12	9	12	7	6	5	7	6	9	8	18	9	11	9	16	11	4	3	4	11	10	8	5	4	8	2	2	4	0	7	2	6	2	0	1	3	5	2	6	1	390
Free or Reduced Price Youth Fast Pass for Eligible Students	58	51	71	67	49	64	84	84	84	54	34	38	48	38	53	44	55	66	85	94	50	66	22	39	35	30	33	21	3	8	9	8	12	13	10	7	25	16	21	13	1	4	0	4	0	1671
Treasurer and Tax Collector: Escalation Guidelines	58	33	34	42	31	54	50	82	68	65	77	88	29	48	23	29	32	48	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1014
District Attorney - Victim Services	57	65	46	57	59	67	64	47	60	54	61	93	69	87	129	70	54	106	103	78	95	78	49	48	101	40	80	85	81	69	62	61	76	57	54	86	63	50	64	30	53	58	36	46	4	2952
Parking across Driveway	57	61	49	63	10	4	52	57	15	35	32	42	51	46	49	44	51	51	45	62	16	35	35	44	35	29	17	17	26	20	16	11	15	18	14	18	12	19	13	7	12	10	4	4	0	1323
Rent Board - General Information	57	45	68	66	67	66	60	49	49	46	56	49	50	45	59	55	55	77	55	65	57	59	61	44	62	58	64	57	55	45	51	75	66	60	67	73	51	1	4	0	0	2	0	1	0	2152
California Highway Patrol - CHP	56	31	38	40	22	18	23	23	30	21	23	25	24	25	29	47	28	27	28	23	30	36	26	30	24	12	13	21	24	19	38	29	23	37	27	26	27	23	20	27	25	26	25	33	1	1203
Disabled Person Parking Placard or Plates (Disability Placard or License Plates) - INFORMATION	56	31	18	33	24	25	33	30	23	28	18	31	28	28	20	24	23	36	33	36	34	27	36	37	32	17	30	33	23	25	24	29	35	33	26	26	31	24	16	11	16	15	26	23	2	1209
MuniMobile Ticketing App	56	147	46	61	87	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414
Treasurer-Tax Collector - Bureau of Delinquent Revenue	56	43	84	106	83	125	94	84	71	88	86	76	104	173	212	134	116	138	125	139	168	119	206	203	172	245	121	94	86	110	167	103	124	105	135	232	237	153	155	277	351	152	9	7	0	5868
Closed Business - Check If Business License/Certificate Is Closed	54	61	53	76	72	119	55	76	58	104	91	32	36	45	9	12	16	6	12	16	28	36	42	44	50	35	18	6	1	10	15	5	33	19	29	38	44	24	48	33	20	0	0	0	0	1581
Treasurer and Tax Collector: Escape Tax Bill	54	49	60	89	99	89	21	15	19	47	29	59	49	39	57	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	801
City Owned Parking Garages and Lots	53	44	57	57	37	36	34	38	26	36	29	42	50	43	28	33	26	42	29	38	39	30	34	26	39	35	28	26	25	26	15	36	34	38	30	27	16	5	15	9	10	11	13	17	0	1362
Who owns the property next door?	53	33	34	47	40	40	13	14	12	24	16	21	19	30	16	4	10	14	7	11	9	13	7	16	16	6	38	7	4	5	14	6	18	14	15	10	13	20	34	10	16	16	21	15	4	805
Dept of Public Health - General Information	52	31	42	30	17	21	25	24	16	21	7	18	20	18	38	31	30	32	42	35	41	26	35	32	34	41	28	31	31	31	41	44	27	34	23	26	19	2	3	0	2	8	4	2	2	1117
"Complaint: Construction without Permit, Construction Beyond Scope of Permit"	51	34	43	28	31	40	47	39	34	24	46	39	54	40	29	35	30	48	45	50	32	34	12	29	33	24	28	15	31	51	30	25	37	20	26	30	28	18	11	10	16	15	10	20	2	1374
Has my lien been released?  (Has a lien release been recorded?)	51	41	60	47	42	36	50	37	25	32	43	18	28	25	36	11	10	23	19	13	10	10	11	12	21	4	7	6	11	11	18	21	18	12	23	13	18	14	18	9	12	17	21	10	0	974
Residential Parking Permit Replacements / Transfers	51	29	34	29	23	37	42	65	42	52	86	77	90	60	55	45	61	70	74	97	66	64	55	77	83	57	131	59	39	12	3	7	7	14	19	26	25	31	40	21	7	7	5	7	4	1985
Non-Emergency Police	50	73	78	70	93	109	84	99	62	34	55	50	52	23	36	47	69	49	55	75	96	90	95	87	97	70	86	72	91	125	123	114	118	104	108	135	121	80	64	58	67	52	60	66	10	3452
City Hall Directory	48	39	37	45	28	32	26	31	39	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336
Human Resources Staff Contact List	48	39	48	40	24	35	41	34	30	30	29	24	43	35	44	38	31	30	26	30	35	47	37	35	38	33	36	28	22	46	38	28	42	26	34	41	38	1	1	0	0	0	0	0	0	1305
Red Light Camera Photo Enforcement Program - General Information	46	23	28	31	22	31	22	13	14	15	12	12	7	7	12	7	6	5	1	7	6	8	3	11	5	4	13	7	4	3	7	7	7	8	4	4	3	0	1	1	1	1	1	0	1	431
Board of Supervisors - Main Page	44	43	35	34	31	43	40	38	48	28	27	36	40	38	43	39	35	39	41	30	39	48	40	42	28	25	48	31	41	57	42	43	46	35	37	37	0	0	0	0	0	0	0	0	0	1391
Illegally Parked Vehicles	44	65	40	48	47	72	60	71	65	63	73	95	117	72	94	93	98	90	79	66	57	83	88	83	58	74	105	58	72	69	53	35	31	22	23	9	13	15	20	32	54	91	89	83	15	2784
Taxi Issues - Complaints / Compliments / Lost and Found	44	37	34	38	37	31	31	26	33	48	33	15	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424
"Transient Occupancy Tax (TOT), Tourism Improvement District (TID) Fee, and Moscone Expansion District (MED) Fee - All Matters"	44	46	84	43	97	85	44	85	66	72	99	106	93	52	50	34	27	46	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1236
Who is my District Supervisor - Board of Supervisors	44	49	33	31	42	68	41	32	39	25	24	37	46	34	34	28	26	33	39	26	24	28	30	31	32	24	36	28	27	40	32	31	36	33	37	43	77	4	1	0	4	3	24	42	3	1401
California Department of Transportation - CALTRANS	42	25	30	27	25	14	23	24	28	19	13	3	24	26	24	29	17	12	14	13	6	14	25	5	11	11	9	7	10	13	18	10	11	7	14	6	14	11	23	13	7	20	10	13	2	722
Street Tree Removal Permitting Process	42	17	17	22	18	33	18	23	19	20	21	15	12	26	22	20	16	16	17	12	20	16	26	22	14	14	23	9	11	16	16	17	19	16	11	24	9	14	9	7	15	11	11	20	1	777
"SFMTA Temporary Signs Program - Status Inquiries, Change Requests & Cancellations"	41	34	24	16	21	28	33	43	41	50	49	44	134	103	93	51	61	84	69	68	76	83	76	72	51	48	35	24	37	57	76	87	75	25	0	0	0	0	0	0	0	0	0	0	0	1909
Youth Clipper Card	41	48	58	49	34	46	46	49	29	34	20	37	35	41	33	36	45	46	50	85	42	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	910
